method,true_class,pred_class,rank_for_bad_class,confusion_count,confusion_rate,support
static,174,19,4,102,0.0676841406768414,1507
static,174,23,5,100,0.06635700066357,1507
best_capspp_adapter,5,117,1,511,0.47314814814814815,1080
best_capspp_adapter,5,14,2,295,0.27314814814814814,1080
best_capspp_adapter,5,122,3,185,0.1712962962962963,1080
best_capspp_adapter,5,83,4,17,0.01574074074074074,1080
best_capspp_adapter,5,149,5,13,0.012037037037037037,1080
best_capspp_adapter,6,117,1,829,0.49228028503562943,1684
best_capspp_adapter,6,14,2,454,0.2695961995249406,1684
best_capspp_adapter,6,122,3,223,0.1324228028503563,1684
best_capspp_adapter,6,5,4,75,0.04453681710213777,1684
best_capspp_adapter,6,170,5,26,0.015439429928741092,1684
best_capspp_adapter,10,117,1,754,0.750996015936255,1004
best_capspp_adapter,10,122,2,158,0.15737051792828685,1004
best_capspp_adapter,10,156,3,39,0.03884462151394422,1004
best_capspp_adapter,10,138,4,26,0.025896414342629483,1004
best_capspp_adapter,10,93,5,13,0.012948207171314742,1004
best_capspp_adapter,11,117,1,1142,0.6529445397369925,1749
best_capspp_adapter,11,122,2,390,0.22298456260720412,1749
best_capspp_adapter,11,153,3,88,0.050314465408805034,1749
best_capspp_adapter,11,93,4,57,0.032590051457975985,1749
best_capspp_adapter,11,2,5,11,0.006289308176100629,1749
best_capspp_adapter,12,117,1,214,0.8136882129277566,263
best_capspp_adapter,12,122,2,15,0.057034220532319393,263
best_capspp_adapter,12,63,3,7,0.026615969581749048,263
best_capspp_adapter,12,156,4,7,0.026615969581749048,263
best_capspp_adapter,12,125,5,5,0.019011406844106463,263
best_capspp_adapter,14,117,1,3589,0.6165607283971826,5821
best_capspp_adapter,14,122,2,618,0.10616732520185534,5821
best_capspp_adapter,14,129,3,274,0.04707095000858959,5821
best_capspp_adapter,14,153,4,69,0.011853633396323655,5821
best_capspp_adapter,14,71,5,42,0.0072152551108057034,5821
best_capspp_adapter,26,117,1,456,0.5650557620817844,807
best_capspp_adapter,26,122,2,264,0.3271375464684015,807
best_capspp_adapter,26,93,3,20,0.024783147459727387,807
best_capspp_adapter,26,13,4,18,0.022304832713754646,807
best_capspp_adapter,26,61,5,7,0.008674101610904586,807
best_capspp_adapter,28,117,1,3434,0.5905417024935512,5815
best_capspp_adapter,28,122,2,1009,0.17351676698194324,5815
best_capspp_adapter,28,71,3,285,0.049011177987962166,5815
best_capspp_adapter,28,158,4,115,0.019776440240756664,5815
best_capspp_adapter,28,2,5,84,0.014445399828030954,5815
best_capspp_adapter,38,122,1,153,0.7927461139896373,193
best_capspp_adapter,38,117,2,32,0.16580310880829016,193
best_capspp_adapter,38,71,3,2,0.010362694300518135,193
best_capspp_adapter,38,153,4,2,0.010362694300518135,193
best_capspp_adapter,38,14,5,1,0.0051813471502590676,193
best_capspp_adapter,47,122,1,438,0.7087378640776699,618
best_capspp_adapter,47,117,2,161,0.2605177993527508,618
best_capspp_adapter,47,14,3,13,0.021035598705501618,618
best_capspp_adapter,47,170,4,2,0.003236245954692557,618
best_capspp_adapter,47,53,5,1,0.0016181229773462784,618
best_capspp_adapter,48,14,1,2169,0.6453436477238917,3361
best_capspp_adapter,48,117,2,685,0.2038083903600119,3361
best_capspp_adapter,48,122,3,455,0.13537637607854805,3361
best_capspp_adapter,48,170,4,14,0.0041654269562630165,3361
best_capspp_adapter,48,177,5,14,0.0041654269562630165,3361
best_capspp_adapter,56,117,1,4855,0.40001647853670597,12137
best_capspp_adapter,56,122,2,2525,0.20804152591249897,12137
best_capspp_adapter,56,96,3,1436,0.11831589354865288,12137
best_capspp_adapter,56,71,4,1343,0.11065337398039055,12137
best_capspp_adapter,56,14,5,729,0.060064266293153167,12137
best_capspp_adapter,66,117,1,1296,0.6629156010230179,1955
best_capspp_adapter,66,122,2,350,0.17902813299232737,1955
best_capspp_adapter,66,142,3,78,0.03989769820971867,1955
best_capspp_adapter,66,71,4,63,0.032225063938618924,1955
best_capspp_adapter,66,140,5,37,0.018925831202046037,1955
best_capspp_adapter,69,122,1,926,0.4962486602357985,1866
best_capspp_adapter,69,117,2,794,0.4255091103965702,1866
best_capspp_adapter,69,105,3,72,0.03858520900321544,1866
best_capspp_adapter,69,93,4,30,0.01607717041800643,1866
best_capspp_adapter,69,14,5,9,0.00482315112540193,1866
best_capspp_adapter,104,117,1,836,0.4793577981651376,1744
best_capspp_adapter,104,122,2,749,0.4294724770642202,1744
best_capspp_adapter,104,2,3,93,0.053325688073394495,1744
best_capspp_adapter,104,143,4,20,0.011467889908256881,1744
best_capspp_adapter,104,153,5,19,0.010894495412844037,1744
best_capspp_adapter,109,117,1,228,0.5801526717557252,393
best_capspp_adapter,109,122,2,97,0.24681933842239187,393
best_capspp_adapter,109,71,3,52,0.13231552162849872,393
best_capspp_adapter,109,14,4,4,0.010178117048346057,393
best_capspp_adapter,109,158,5,4,0.010178117048346057,393
best_capspp_adapter,118,117,1,1249,0.4846720993403182,2577
best_capspp_adapter,118,122,2,513,0.1990686845168801,2577
best_capspp_adapter,118,28,3,194,0.07528133488552581,2577
best_capspp_adapter,118,25,4,137,0.05316259216142802,2577
best_capspp_adapter,118,96,5,126,0.048894062863795114,2577
best_capspp_adapter,139,117,1,651,0.6690647482014388,973
best_capspp_adapter,139,122,2,140,0.14388489208633093,973
best_capspp_adapter,139,156,3,30,0.030832476875642344,973
best_capspp_adapter,139,153,4,24,0.024665981500513873,973
best_capspp_adapter,139,14,5,16,0.01644398766700925,973
best_capspp_adapter,164,117,1,1328,0.7862640615748964,1689
best_capspp_adapter,164,122,2,254,0.15038484310242747,1689
best_capspp_adapter,164,149,3,41,0.02427471876850207,1689
best_capspp_adapter,164,138,4,25,0.014801657785671996,1689
best_capspp_adapter,164,14,5,2,0.0011841326228537595,1689
best_capspp_adapter,174,117,1,830,0.5507631055076311,1507
best_capspp_adapter,174,122,2,376,0.24950232249502322,1507
best_capspp_adapter,174,2,3,196,0.1300597213005972,1507
best_capspp_adapter,174,133,4,29,0.019243530192435302,1507
best_capspp_adapter,174,19,5,20,0.013271400132714002,1507
