method,alpha,tau_conf,momentum,true_class,pred_class,rank_for_bad_class,confusion_count,confusion_rate,support
static,,,,139,32,2,105,0.1079136690647482,973
static,,,,139,61,3,83,0.08530318602261049,973
static,,,,139,153,4,50,0.051387461459403906,973
static,,,,139,156,5,46,0.047276464542651594,973
static,,,,164,138,1,177,0.10479573712255773,1689
static,,,,164,117,2,147,0.08703374777975133,1689
static,,,,164,149,3,99,0.0586145648312611,1689
static,,,,164,124,4,60,0.035523978685612786,1689
static,,,,164,96,5,17,0.010065127294256957,1689
static,,,,174,2,1,440,0.291970802919708,1507
static,,,,174,133,2,283,0.18779031187790313,1507
static,,,,174,28,3,250,0.16589250165892502,1507
static,,,,174,19,4,102,0.0676841406768414,1507
static,,,,174,23,5,100,0.06635700066357,1507
best_caps_target_proto,5.0,0.8,0.9,5,14,1,72,0.06666666666666667,1080
best_caps_target_proto,5.0,0.8,0.9,5,6,2,56,0.05185185185185185,1080
best_caps_target_proto,5.0,0.8,0.9,5,124,3,50,0.046296296296296294,1080
best_caps_target_proto,5.0,0.8,0.9,5,177,4,23,0.021296296296296296,1080
best_caps_target_proto,5.0,0.8,0.9,5,83,5,21,0.019444444444444445,1080
best_caps_target_proto,5.0,0.8,0.9,6,5,1,991,0.588479809976247,1684
best_caps_target_proto,5.0,0.8,0.9,6,14,2,48,0.028503562945368172,1684
best_caps_target_proto,5.0,0.8,0.9,6,151,3,20,0.011876484560570071,1684
best_caps_target_proto,5.0,0.8,0.9,6,124,4,16,0.009501187648456057,1684
best_caps_target_proto,5.0,0.8,0.9,6,170,5,9,0.005344418052256532,1684
best_caps_target_proto,5.0,0.8,0.9,10,156,1,308,0.30677290836653387,1004
best_caps_target_proto,5.0,0.8,0.9,10,138,2,175,0.17430278884462153,1004
best_caps_target_proto,5.0,0.8,0.9,10,117,3,158,0.15737051792828685,1004
best_caps_target_proto,5.0,0.8,0.9,10,132,4,40,0.0398406374501992,1004
best_caps_target_proto,5.0,0.8,0.9,10,61,5,38,0.037848605577689244,1004
best_caps_target_proto,5.0,0.8,0.9,11,153,1,371,0.21212121212121213,1749
best_caps_target_proto,5.0,0.8,0.9,11,93,2,277,0.15837621497998858,1749
best_caps_target_proto,5.0,0.8,0.9,11,133,3,126,0.07204116638078903,1749
best_caps_target_proto,5.0,0.8,0.9,11,148,4,71,0.04059462550028588,1749
best_caps_target_proto,5.0,0.8,0.9,11,2,5,60,0.03430531732418525,1749
best_caps_target_proto,5.0,0.8,0.9,12,117,1,57,0.21673003802281368,263
best_caps_target_proto,5.0,0.8,0.9,12,156,2,37,0.14068441064638784,263
best_caps_target_proto,5.0,0.8,0.9,12,63,3,32,0.12167300380228137,263
best_caps_target_proto,5.0,0.8,0.9,12,61,4,6,0.022813688212927757,263
best_caps_target_proto,5.0,0.8,0.9,12,50,5,5,0.019011406844106463,263
best_caps_target_proto,5.0,0.8,0.9,14,129,1,1169,0.20082460058409207,5821
best_caps_target_proto,5.0,0.8,0.9,14,63,2,485,0.08331901735097062,5821
best_caps_target_proto,5.0,0.8,0.9,14,61,3,298,0.05119395292904999,5821
best_caps_target_proto,5.0,0.8,0.9,14,153,4,206,0.03538910840061845,5821
best_caps_target_proto,5.0,0.8,0.9,14,155,5,201,0.034530149458855866,5821
best_caps_target_proto,5.0,0.8,0.9,26,13,1,197,0.24411400247831475,807
best_caps_target_proto,5.0,0.8,0.9,26,49,2,103,0.12763320941759604,807
best_caps_target_proto,5.0,0.8,0.9,26,136,3,71,0.08798017348203221,807
best_caps_target_proto,5.0,0.8,0.9,26,61,4,63,0.07806691449814127,807
best_caps_target_proto,5.0,0.8,0.9,26,29,5,40,0.04956629491945477,807
best_caps_target_proto,5.0,0.8,0.9,28,49,1,969,0.16663800515907137,5815
best_caps_target_proto,5.0,0.8,0.9,28,158,2,348,0.059845227858985384,5815
best_caps_target_proto,5.0,0.8,0.9,28,95,3,341,0.0586414445399828,5815
best_caps_target_proto,5.0,0.8,0.9,28,142,4,238,0.040928632846087706,5815
best_caps_target_proto,5.0,0.8,0.9,28,2,5,215,0.03697334479793637,5815
best_caps_target_proto,5.0,0.8,0.9,38,45,1,70,0.3626943005181347,193
best_caps_target_proto,5.0,0.8,0.9,38,39,2,68,0.35233160621761656,193
best_caps_target_proto,5.0,0.8,0.9,38,125,3,9,0.046632124352331605,193
best_caps_target_proto,5.0,0.8,0.9,38,105,4,7,0.03626943005181347,193
best_caps_target_proto,5.0,0.8,0.9,38,133,5,7,0.03626943005181347,193
best_caps_target_proto,5.0,0.8,0.9,47,5,1,298,0.48220064724919093,618
best_caps_target_proto,5.0,0.8,0.9,47,6,2,115,0.18608414239482202,618
best_caps_target_proto,5.0,0.8,0.9,47,7,3,74,0.11974110032362459,618
best_caps_target_proto,5.0,0.8,0.9,47,177,4,34,0.05501618122977346,618
best_caps_target_proto,5.0,0.8,0.9,47,102,5,26,0.042071197411003236,618
best_caps_target_proto,5.0,0.8,0.9,48,177,1,1158,0.3445403153823267,3361
best_caps_target_proto,5.0,0.8,0.9,48,14,2,1141,0.33948229693543586,3361
best_caps_target_proto,5.0,0.8,0.9,48,170,3,647,0.19250223147872658,3361
best_caps_target_proto,5.0,0.8,0.9,48,6,4,217,0.06456411782207676,3361
best_caps_target_proto,5.0,0.8,0.9,48,5,5,71,0.021124665278191016,3361
best_caps_target_proto,5.0,0.8,0.9,56,96,1,3093,0.25484057015737005,12137
best_caps_target_proto,5.0,0.8,0.9,56,165,2,3077,0.25352228722089476,12137
best_caps_target_proto,5.0,0.8,0.9,56,118,3,2477,0.20408667710307324,12137
best_caps_target_proto,5.0,0.8,0.9,56,14,4,1121,0.09236219823679657,12137
best_caps_target_proto,5.0,0.8,0.9,56,71,5,482,0.03971327346131664,12137
best_caps_target_proto,5.0,0.8,0.9,66,71,1,310,0.1585677749360614,1955
best_caps_target_proto,5.0,0.8,0.9,66,142,2,296,0.1514066496163683,1955
best_caps_target_proto,5.0,0.8,0.9,66,49,3,230,0.11764705882352941,1955
best_caps_target_proto,5.0,0.8,0.9,66,78,4,170,0.08695652173913043,1955
best_caps_target_proto,5.0,0.8,0.9,66,108,5,137,0.070076726342711,1955
best_caps_target_proto,5.0,0.8,0.9,69,105,1,698,0.3740621650589496,1866
best_caps_target_proto,5.0,0.8,0.9,69,125,2,201,0.10771704180064309,1866
best_caps_target_proto,5.0,0.8,0.9,69,18,3,181,0.0969989281886388,1866
best_caps_target_proto,5.0,0.8,0.9,69,39,4,171,0.09163987138263666,1866
best_caps_target_proto,5.0,0.8,0.9,69,60,5,168,0.09003215434083602,1866
best_caps_target_proto,5.0,0.8,0.9,104,2,1,628,0.36009174311926606,1744
best_caps_target_proto,5.0,0.8,0.9,104,133,2,276,0.15825688073394495,1744
best_caps_target_proto,5.0,0.8,0.9,104,19,3,269,0.15424311926605505,1744
best_caps_target_proto,5.0,0.8,0.9,104,34,4,101,0.05791284403669725,1744
best_caps_target_proto,5.0,0.8,0.9,104,110,5,75,0.0430045871559633,1744
best_caps_target_proto,5.0,0.8,0.9,109,71,1,109,0.27735368956743,393
best_caps_target_proto,5.0,0.8,0.9,109,158,2,80,0.2035623409669211,393
best_caps_target_proto,5.0,0.8,0.9,109,140,3,59,0.15012722646310434,393
best_caps_target_proto,5.0,0.8,0.9,109,116,4,27,0.06870229007633588,393
best_caps_target_proto,5.0,0.8,0.9,109,142,5,27,0.06870229007633588,393
best_caps_target_proto,5.0,0.8,0.9,118,25,1,510,0.1979045401629802,2577
best_caps_target_proto,5.0,0.8,0.9,118,96,2,488,0.1893674815677144,2577
best_caps_target_proto,5.0,0.8,0.9,118,97,3,13,0.005044625533566162,2577
best_caps_target_proto,5.0,0.8,0.9,118,90,4,11,0.004268529297632906,2577
best_caps_target_proto,5.0,0.8,0.9,118,124,5,10,0.0038804811796662787,2577
best_caps_target_proto,5.0,0.8,0.9,139,32,1,154,0.15827338129496402,973
best_caps_target_proto,5.0,0.8,0.9,139,133,2,130,0.13360739979445016,973
best_caps_target_proto,5.0,0.8,0.9,139,61,3,107,0.10996916752312436,973
best_caps_target_proto,5.0,0.8,0.9,139,141,4,41,0.0421377183967112,973
best_caps_target_proto,5.0,0.8,0.9,139,156,5,33,0.03391572456320658,973
best_caps_target_proto,5.0,0.8,0.9,164,149,1,133,0.07874481941977501,1689
best_caps_target_proto,5.0,0.8,0.9,164,117,2,108,0.06394316163410302,1689
best_caps_target_proto,5.0,0.8,0.9,164,138,3,85,0.05032563647128478,1689
best_caps_target_proto,5.0,0.8,0.9,164,124,4,66,0.03907637655417407,1689
best_caps_target_proto,5.0,0.8,0.9,164,96,5,28,0.016577856719952634,1689
best_caps_target_proto,5.0,0.8,0.9,174,2,1,442,0.29329794293297945,1507
best_caps_target_proto,5.0,0.8,0.9,174,28,2,344,0.22826808228268083,1507
best_caps_target_proto,5.0,0.8,0.9,174,133,3,268,0.17783676177836763,1507
best_caps_target_proto,5.0,0.8,0.9,174,23,4,102,0.0676841406768414,1507
best_caps_target_proto,5.0,0.8,0.9,174,19,5,101,0.06702057067020571,1507
