method,alpha,true_class,pred_class,rank_for_bad_class,confusion_count,confusion_rate,support
static,,164,96,5,17,0.010065127294256957,1689
static,,174,2,1,440,0.291970802919708,1507
static,,174,133,2,283,0.18779031187790313,1507
static,,174,28,3,250,0.16589250165892502,1507
static,,174,19,4,102,0.0676841406768414,1507
static,,174,23,5,100,0.06635700066357,1507
best_logit_plus_proto,2.0,5,14,1,72,0.06666666666666667,1080
best_logit_plus_proto,2.0,5,6,2,58,0.053703703703703705,1080
best_logit_plus_proto,2.0,5,124,3,50,0.046296296296296294,1080
best_logit_plus_proto,2.0,5,177,4,23,0.021296296296296296,1080
best_logit_plus_proto,2.0,5,151,5,21,0.019444444444444445,1080
best_logit_plus_proto,2.0,6,5,1,959,0.5694774346793349,1684
best_logit_plus_proto,2.0,6,14,2,53,0.03147268408551069,1684
best_logit_plus_proto,2.0,6,151,3,25,0.014845605700712588,1684
best_logit_plus_proto,2.0,6,149,4,13,0.007719714964370546,1684
best_logit_plus_proto,2.0,6,83,5,9,0.005344418052256532,1684
best_logit_plus_proto,2.0,10,156,1,372,0.3705179282868526,1004
best_logit_plus_proto,2.0,10,138,2,230,0.2290836653386454,1004
best_logit_plus_proto,2.0,10,117,3,89,0.08864541832669323,1004
best_logit_plus_proto,2.0,10,132,4,35,0.0348605577689243,1004
best_logit_plus_proto,2.0,10,61,5,33,0.03286852589641434,1004
best_logit_plus_proto,2.0,11,153,1,425,0.24299599771297883,1749
best_logit_plus_proto,2.0,11,93,2,282,0.16123499142367068,1749
best_logit_plus_proto,2.0,11,133,3,135,0.07718696397941681,1749
best_logit_plus_proto,2.0,11,148,4,60,0.03430531732418525,1749
best_logit_plus_proto,2.0,11,2,5,45,0.025728987993138937,1749
best_logit_plus_proto,2.0,12,156,1,56,0.21292775665399238,263
best_logit_plus_proto,2.0,12,117,2,44,0.16730038022813687,263
best_logit_plus_proto,2.0,12,63,3,29,0.11026615969581749,263
best_logit_plus_proto,2.0,12,125,4,13,0.049429657794676805,263
best_logit_plus_proto,2.0,12,50,5,8,0.030418250950570342,263
best_logit_plus_proto,2.0,14,129,1,1207,0.20735268854148772,5821
best_logit_plus_proto,2.0,14,63,2,378,0.06493729599725133,5821
best_logit_plus_proto,2.0,14,61,3,299,0.05136574471740251,5821
best_logit_plus_proto,2.0,14,153,4,241,0.041401820992956535,5821
best_logit_plus_proto,2.0,14,155,5,188,0.03229685621027315,5821
best_logit_plus_proto,2.0,26,13,1,182,0.2255266418835192,807
best_logit_plus_proto,2.0,26,49,2,91,0.1127633209417596,807
best_logit_plus_proto,2.0,26,136,3,75,0.09293680297397769,807
best_logit_plus_proto,2.0,26,46,4,66,0.08178438661710037,807
best_logit_plus_proto,2.0,26,61,5,54,0.06691449814126393,807
best_logit_plus_proto,2.0,28,49,1,1004,0.17265692175408426,5815
best_logit_plus_proto,2.0,28,117,2,315,0.05417024935511608,5815
best_logit_plus_proto,2.0,28,95,3,301,0.05176268271711092,5815
best_logit_plus_proto,2.0,28,158,4,291,0.05004299226139295,5815
best_logit_plus_proto,2.0,28,142,5,261,0.04488392089423904,5815
best_logit_plus_proto,2.0,38,39,1,70,0.3626943005181347,193
best_logit_plus_proto,2.0,38,45,2,70,0.3626943005181347,193
best_logit_plus_proto,2.0,38,125,3,9,0.046632124352331605,193
best_logit_plus_proto,2.0,38,133,4,7,0.03626943005181347,193
best_logit_plus_proto,2.0,38,105,5,5,0.025906735751295335,193
best_logit_plus_proto,2.0,47,5,1,312,0.5048543689320388,618
best_logit_plus_proto,2.0,47,6,2,99,0.16019417475728157,618
best_logit_plus_proto,2.0,47,7,3,68,0.11003236245954692,618
best_logit_plus_proto,2.0,47,177,4,29,0.04692556634304207,618
best_logit_plus_proto,2.0,47,102,5,27,0.043689320388349516,618
best_logit_plus_proto,2.0,48,14,1,1212,0.36060696221362687,3361
best_logit_plus_proto,2.0,48,177,2,1100,0.32728354656352276,3361
best_logit_plus_proto,2.0,48,170,3,655,0.194882475453734,3361
best_logit_plus_proto,2.0,48,6,4,207,0.061588812853317465,3361
best_logit_plus_proto,2.0,48,5,5,61,0.018149360309431716,3361
best_logit_plus_proto,2.0,56,165,1,3049,0.2512152920820631,12137
best_logit_plus_proto,2.0,56,96,2,2971,0.24478866276674632,12137
best_logit_plus_proto,2.0,56,118,3,2601,0.21430336986075638,12137
best_logit_plus_proto,2.0,56,14,4,1147,0.09450440800856884,12137
best_logit_plus_proto,2.0,56,71,5,517,0.042597017384856224,12137
best_logit_plus_proto,2.0,66,142,1,274,0.140153452685422,1955
best_logit_plus_proto,2.0,66,71,2,270,0.13810741687979539,1955
best_logit_plus_proto,2.0,66,49,3,243,0.12429667519181585,1955
best_logit_plus_proto,2.0,66,78,4,156,0.07979539641943734,1955
best_logit_plus_proto,2.0,66,108,5,146,0.07468030690537085,1955
best_logit_plus_proto,2.0,69,105,1,696,0.3729903536977492,1866
best_logit_plus_proto,2.0,69,39,2,195,0.1045016077170418,1866
best_logit_plus_proto,2.0,69,60,3,191,0.10235798499464094,1866
best_logit_plus_proto,2.0,69,125,4,171,0.09163987138263666,1866
best_logit_plus_proto,2.0,69,18,5,142,0.07609860664523044,1866
best_logit_plus_proto,2.0,104,2,1,436,0.25,1744
best_logit_plus_proto,2.0,104,19,2,337,0.19323394495412843,1744
best_logit_plus_proto,2.0,104,133,3,296,0.16972477064220184,1744
best_logit_plus_proto,2.0,104,117,4,151,0.08658256880733944,1744
best_logit_plus_proto,2.0,104,34,5,92,0.052752293577981654,1744
best_logit_plus_proto,2.0,109,71,1,102,0.2595419847328244,393
best_logit_plus_proto,2.0,109,158,2,75,0.19083969465648856,393
best_logit_plus_proto,2.0,109,140,3,61,0.15521628498727735,393
best_logit_plus_proto,2.0,109,116,4,27,0.06870229007633588,393
best_logit_plus_proto,2.0,109,142,5,26,0.06615776081424936,393
best_logit_plus_proto,2.0,118,25,1,962,0.373302289483896,2577
best_logit_plus_proto,2.0,118,96,2,28,0.01086534730306558,2577
best_logit_plus_proto,2.0,118,90,3,12,0.004656577415599534,2577
best_logit_plus_proto,2.0,118,124,4,12,0.004656577415599534,2577
best_logit_plus_proto,2.0,118,97,5,11,0.004268529297632906,2577
best_logit_plus_proto,2.0,139,133,1,144,0.14799588900308325,973
best_logit_plus_proto,2.0,139,32,2,130,0.13360739979445016,973
best_logit_plus_proto,2.0,139,61,3,85,0.08735868448098665,973
best_logit_plus_proto,2.0,139,156,4,46,0.047276464542651594,973
best_logit_plus_proto,2.0,139,153,5,45,0.046248715313463515,973
best_logit_plus_proto,2.0,164,117,1,141,0.08348134991119005,1689
best_logit_plus_proto,2.0,164,138,2,127,0.07519242155121374,1689
best_logit_plus_proto,2.0,164,149,3,108,0.06394316163410302,1689
best_logit_plus_proto,2.0,164,124,4,64,0.037892243931320305,1689
best_logit_plus_proto,2.0,164,96,5,18,0.010657193605683837,1689
best_logit_plus_proto,2.0,174,2,1,443,0.29396151293961514,1507
best_logit_plus_proto,2.0,174,133,2,285,0.18911745189117452,1507
best_logit_plus_proto,2.0,174,28,3,252,0.1672196416721964,1507
best_logit_plus_proto,2.0,174,23,4,104,0.06901128069011281,1507
best_logit_plus_proto,2.0,174,19,5,103,0.0683477106834771,1507
