period,class_id,support,precision,recall,f1,delta_f1_from_ref,delta_recall_from_ref,delta_precision_from_ref,bucket,reference_period,selection_period
W-2022-47,62,514937,0.7109397205343494,0.1797268403707638,0.2869198312236287,-0.448721774706838,-0.4493942006359436,-0.1746461794244626,bad,W-2022-45,W-2022-47
W-2022-47,49,305992,0.6055308887301932,0.1912043452116395,0.29063641760201486,-0.3989479652218184,-0.44037861895649855,-0.1537852921257068,bad,W-2022-45,W-2022-47
W-2022-47,50,378241,0.6842682270212062,0.2788751087269757,0.3962554048317599,-0.35814429226193556,-0.3779150877282565,-0.20181802196170673,bad,W-2022-45,W-2022-47
W-2022-47,58,8667,0.34764028242289113,0.21587631244952118,0.266353477115809,-0.31586941809921226,-0.28898188082778975,-0.33994913102489144,bad,W-2022-45,W-2022-47
W-2022-47,60,69798,0.46864351671218624,0.25813060546147454,0.3328991251166357,-0.31042211660566127,-0.2965284382934243,-0.29707828588477553,bad,W-2022-45,W-2022-47
W-2022-47,48,24953,0.5918145956607495,0.24049212519536728,0.3420055281680107,-0.29771293785749126,-0.2971030781752371,-0.19792533173316829,bad,W-2022-45,W-2022-47
W-2022-47,47,44337,0.7457531851111666,0.269323589778289,0.395731495136622,-0.29289068441210586,-0.29241834281804985,-0.14378932171047842,bad,W-2022-45,W-2022-47
W-2022-47,61,195085,0.2624286638818615,0.5944742035522977,0.364118447677969,-0.2654620290951483,-0.18859287537924907,-0.2639733511369572,bad,W-2022-45,W-2022-47
W-2022-47,52,35424,0.37259576135584366,0.3220980126467931,0.34551152966826654,-0.24163077145030926,-0.21764872827601572,-0.2710670465990391,bad,W-2022-45,W-2022-47
W-2022-47,56,19111,0.7926586261143157,0.39547904348281093,0.5276827480276478,-0.22798246851673243,-0.272987355138671,-0.07636765823454927,bad,W-2022-45,W-2022-47
W-2022-47,41,488622,0.3716241209511367,0.7114129122307223,0.48821635833506555,-0.21081788028023923,-0.10441946152560122,-0.23986644984386452,bad,W-2022-45,W-2022-47
W-2022-47,43,80607,0.4013371755422779,0.9174637438435868,0.558404687476404,-0.2008072875054414,-0.010285726586366839,-0.24115747198765636,bad,W-2022-45,W-2022-47
W-2022-47,101,331412,0.49224265617641105,0.6528128130544458,0.5612694261872982,-0.17434663705261733,-0.11695209723667976,-0.21212572632342241,bad,W-2022-45,W-2022-47
W-2022-47,70,4661,0.48852594583419473,0.5069727526281914,0.49757843756580333,-0.17430160113139115,-0.17861461163636927,-0.17018413952780342,bad,W-2022-45,W-2022-47
W-2022-47,44,62183,0.44844189915536214,0.9016290626055353,0.5989733289887664,-0.14035079841391207,0.017226306732703867,-0.18669371932451861,bad,W-2022-45,W-2022-47
W-2022-47,9,2401,0.35309060118543606,0.17367763431903374,0.23283082077051925,-0.13577797827823224,-0.10472380259160838,-0.1922040338189615,bad,W-2022-45,W-2022-47
W-2022-47,20,4613,0.7977011494252874,0.676999783221331,0.7324108818011257,-0.13457515428082312,-0.22405953881256724,-0.037694647078346466,bad,W-2022-45,W-2022-47
W-2022-47,51,3391,0.3212079615648593,0.4140371571807726,0.3617624323627931,-0.128455837645291,-0.025255801381962817,-0.2332909411417976,bad,W-2022-45,W-2022-47
W-2022-47,19,205237,0.985013278915109,0.6632234928399849,0.7927064345739694,-0.12669260982948904,-0.198581726765362,-0.00022878614788146567,bad,W-2022-45,W-2022-47
W-2022-47,42,143052,0.703095612493448,0.6376282750328552,0.6687635638453868,-0.11991315974098093,-0.14234852392661324,-0.09447730424810652,bad,W-2022-45,W-2022-47
