method,alpha,true_class,pred_class,rank_for_bad_class,confusion_count,confusion_rate,support
static,,164,96,5,17,0.010065127294256957,1689
static,,174,2,1,440,0.291970802919708,1507
static,,174,133,2,283,0.18779031187790313,1507
static,,174,28,3,250,0.16589250165892502,1507
static,,174,19,4,102,0.0676841406768414,1507
static,,174,23,5,100,0.06635700066357,1507
best_logit_plus_proto,5.0,5,6,1,59,0.05462962962962963,1080
best_logit_plus_proto,5.0,5,124,2,46,0.04259259259259259,1080
best_logit_plus_proto,5.0,5,14,3,43,0.03981481481481482,1080
best_logit_plus_proto,5.0,5,177,4,26,0.024074074074074074,1080
best_logit_plus_proto,5.0,5,83,5,19,0.017592592592592594,1080
best_logit_plus_proto,5.0,6,5,1,971,0.5766033254156769,1684
best_logit_plus_proto,5.0,6,14,2,39,0.02315914489311164,1684
best_logit_plus_proto,5.0,6,124,3,16,0.009501187648456057,1684
best_logit_plus_proto,5.0,6,151,4,16,0.009501187648456057,1684
best_logit_plus_proto,5.0,6,170,5,10,0.0059382422802850355,1684
best_logit_plus_proto,5.0,10,156,1,386,0.3844621513944223,1004
best_logit_plus_proto,5.0,10,138,2,193,0.19223107569721115,1004
best_logit_plus_proto,5.0,10,117,3,68,0.06772908366533864,1004
best_logit_plus_proto,5.0,10,132,4,35,0.0348605577689243,1004
best_logit_plus_proto,5.0,10,61,5,34,0.03386454183266932,1004
best_logit_plus_proto,5.0,11,153,1,372,0.21269296740994853,1749
best_logit_plus_proto,5.0,11,93,2,290,0.16580903373356204,1749
best_logit_plus_proto,5.0,11,133,3,138,0.07890222984562607,1749
best_logit_plus_proto,5.0,11,148,4,69,0.03945111492281304,1749
best_logit_plus_proto,5.0,11,61,5,56,0.03201829616923957,1749
best_logit_plus_proto,5.0,12,156,1,57,0.21673003802281368,263
best_logit_plus_proto,5.0,12,117,2,40,0.1520912547528517,263
best_logit_plus_proto,5.0,12,63,3,34,0.12927756653992395,263
best_logit_plus_proto,5.0,12,125,4,11,0.04182509505703422,263
best_logit_plus_proto,5.0,12,61,5,7,0.026615969581749048,263
best_logit_plus_proto,5.0,14,129,1,1213,0.20838343927160283,5821
best_logit_plus_proto,5.0,14,63,2,425,0.07301151004981962,5821
best_logit_plus_proto,5.0,14,61,3,303,0.052052911870812575,5821
best_logit_plus_proto,5.0,14,153,4,212,0.03641985913073355,5821
best_logit_plus_proto,5.0,14,86,5,168,0.028861020443222814,5821
best_logit_plus_proto,5.0,26,13,1,185,0.22924411400247832,807
best_logit_plus_proto,5.0,26,49,2,80,0.09913258983890955,807
best_logit_plus_proto,5.0,26,136,3,79,0.09789343246592318,807
best_logit_plus_proto,5.0,26,46,4,70,0.08674101610904585,807
best_logit_plus_proto,5.0,26,61,5,60,0.07434944237918216,807
best_logit_plus_proto,5.0,28,49,1,932,0.16027515047291488,5815
best_logit_plus_proto,5.0,28,95,2,313,0.053826311263972484,5815
best_logit_plus_proto,5.0,28,158,3,263,0.04522785898538263,5815
best_logit_plus_proto,5.0,28,13,4,241,0.0414445399828031,5815
best_logit_plus_proto,5.0,28,142,5,238,0.040928632846087706,5815
best_logit_plus_proto,5.0,38,39,1,83,0.43005181347150256,193
best_logit_plus_proto,5.0,38,45,2,54,0.27979274611398963,193
best_logit_plus_proto,5.0,38,125,3,9,0.046632124352331605,193
best_logit_plus_proto,5.0,38,133,4,7,0.03626943005181347,193
best_logit_plus_proto,5.0,38,105,5,6,0.031088082901554404,193
best_logit_plus_proto,5.0,47,5,1,335,0.5420711974110033,618
best_logit_plus_proto,5.0,47,6,2,101,0.1634304207119741,618
best_logit_plus_proto,5.0,47,7,3,71,0.11488673139158576,618
best_logit_plus_proto,5.0,47,177,4,30,0.04854368932038835,618
best_logit_plus_proto,5.0,47,102,5,19,0.030744336569579287,618
best_logit_plus_proto,5.0,48,177,1,1110,0.33025885153228207,3361
best_logit_plus_proto,5.0,48,14,2,1044,0.3106218387384707,3361
best_logit_plus_proto,5.0,48,170,3,772,0.22969354358821778,3361
best_logit_plus_proto,5.0,48,6,4,223,0.06634930080333235,3361
best_logit_plus_proto,5.0,48,5,5,101,0.03005058018446891,3361
best_logit_plus_proto,5.0,56,165,1,3095,0.25500535552442943,12137
best_logit_plus_proto,5.0,56,118,2,2775,0.2286396967949246,12137
best_logit_plus_proto,5.0,56,96,3,2753,0.22682705775727116,12137
best_logit_plus_proto,5.0,56,14,4,1105,0.09104391530032133,12137
best_logit_plus_proto,5.0,56,71,5,482,0.03971327346131664,12137
best_logit_plus_proto,5.0,66,142,1,282,0.1442455242966752,1955
best_logit_plus_proto,5.0,66,71,2,275,0.14066496163682865,1955
best_logit_plus_proto,5.0,66,49,3,234,0.119693094629156,1955
best_logit_plus_proto,5.0,66,78,4,168,0.08593350383631713,1955
best_logit_plus_proto,5.0,66,108,5,156,0.07979539641943734,1955
best_logit_plus_proto,5.0,69,105,1,686,0.36763129689174706,1866
best_logit_plus_proto,5.0,69,60,2,199,0.10664523043944266,1866
best_logit_plus_proto,5.0,69,39,3,196,0.10503751339764202,1866
best_logit_plus_proto,5.0,69,125,4,195,0.1045016077170418,1866
best_logit_plus_proto,5.0,69,18,5,150,0.08038585209003216,1866
best_logit_plus_proto,5.0,104,2,1,489,0.28038990825688076,1744
best_logit_plus_proto,5.0,104,19,2,437,0.2505733944954128,1744
best_logit_plus_proto,5.0,104,133,3,313,0.17947247706422018,1744
best_logit_plus_proto,5.0,104,34,4,114,0.06536697247706422,1744
best_logit_plus_proto,5.0,104,143,5,62,0.03555045871559633,1744
best_logit_plus_proto,5.0,109,71,1,103,0.26208651399491095,393
best_logit_plus_proto,5.0,109,140,2,65,0.16539440203562342,393
best_logit_plus_proto,5.0,109,158,3,59,0.15012722646310434,393
best_logit_plus_proto,5.0,109,142,4,27,0.06870229007633588,393
best_logit_plus_proto,5.0,109,116,5,26,0.06615776081424936,393
best_logit_plus_proto,5.0,118,25,1,952,0.3694218083042297,2577
best_logit_plus_proto,5.0,118,96,2,37,0.01435778036476523,2577
best_logit_plus_proto,5.0,118,97,3,13,0.005044625533566162,2577
best_logit_plus_proto,5.0,118,124,4,11,0.004268529297632906,2577
best_logit_plus_proto,5.0,118,90,5,10,0.0038804811796662787,2577
best_logit_plus_proto,5.0,139,32,1,131,0.13463514902363824,973
best_logit_plus_proto,5.0,139,133,2,125,0.12846865364850976,973
best_logit_plus_proto,5.0,139,61,3,102,0.10483042137718397,973
best_logit_plus_proto,5.0,139,66,4,42,0.04316546762589928,973
best_logit_plus_proto,5.0,139,156,5,42,0.04316546762589928,973
best_logit_plus_proto,5.0,164,117,1,144,0.0852575488454707,1689
best_logit_plus_proto,5.0,164,149,2,118,0.06986382474837181,1689
best_logit_plus_proto,5.0,164,138,3,80,0.047365304914150384,1689
best_logit_plus_proto,5.0,164,124,4,69,0.04085257548845471,1689
best_logit_plus_proto,5.0,164,96,5,19,0.011249259917110717,1689
best_logit_plus_proto,5.0,174,2,1,464,0.30789648307896483,1507
best_logit_plus_proto,5.0,174,133,2,276,0.1831453218314532,1507
best_logit_plus_proto,5.0,174,28,3,270,0.17916390179163902,1507
best_logit_plus_proto,5.0,174,19,4,104,0.06901128069011281,1507
best_logit_plus_proto,5.0,174,23,5,102,0.0676841406768414,1507
